代数幾何,代数幾何,保健体育,保健体育,計算機ネットワーク,計算機ネットワーク,null,null
コンピューターアーキテクチャ,コンピューターアーキテクチャ,回路理論,回路理論,微分積分,微分積分,英文読解,null
英語,英語,政治経済,政治経済,微分積分,微分積分,null,null
応用物理,応用物理,電子回路,電子回路,歴史,歴史,特活,null
null,情報工学実験,情報工学実験,情報工学実験,国語,国語,データ構造とアルゴリズム,データ構造とアルゴリズム
